timestamp,name,attribute_name,value
20:37.9,EV Chargers,power,122.091
50:46.7,EV Chargers,power,73.864
50:58.7,EV Chargers,power,122.091
21:08.9,EV Chargers,power,82.116
21:19.0,EV Chargers,power,122.091
51:28.5,EV Chargers,power,89.046
51:42.3,EV Chargers,power,122.091
21:45.8,EV Chargers,power,103.266
22:01.5,EV Chargers,power,122.091
52:02.5,EV Chargers,power,122.091
52:02.9,EV Chargers,power,118.396
22:20.4,EV Chargers,power,122.091
22:28.3,EV Chargers,power,150.896
52:44.1,EV Chargers,power,122.091
52:50.9,EV Chargers,power,172.129
23:12.8,EV Chargers,power,122.091
23:16.9,EV Chargers,power,177.572
53:35.8,EV Chargers,power,122.091
53:44.5,EV Chargers,power,174.436
23:54.7,EV Chargers,power,122.091
24:12.6,EV Chargers,power,166.673
54:17.2,EV Chargers,power,122.091
54:32.9,EV Chargers,power,153.692
24:45.5,EV Chargers,power,122.091
24:57.8,EV Chargers,power,148.115
55:12.1,EV Chargers,power,122.091
55:14.7,EV Chargers,power,147.928
25:31.9,EV Chargers,power,122.091
25:38.4,EV Chargers,power,143.093
55:54.9,EV Chargers,power,130.542
56:02.1,EV Chargers,power,122.091
26:02.5,EV Chargers,power,122.091
26:15.7,EV Chargers,power,121.967
56:31.6,EV Chargers,power,122.091
27:10.9,EV Chargers,power,108.377
57:11.6,EV Chargers,power,98.078
27:12.1,EV Chargers,power,84.589
57:38.0,EV Chargers,power,73.728
28:16.2,EV Chargers,power,66.026
58:42.7,EV Chargers,power,56.096
28:43.3,EV Chargers,power,45.167
59:02.5,EV Chargers,power,37.628
29:29.4,EV Chargers,power,30.859
59:49.3,EV Chargers,power,27.249
30:11.3,EV Chargers,power,23.425
00:43.5,EV Chargers,power,22.699
31:05.1,EV Chargers,power,21.86
01:23.0,EV Chargers,power,21.293
31:47.8,EV Chargers,power,22.914
02:03.6,EV Chargers,power,37.927
32:40.0,EV Chargers,power,54.371
02:59.8,EV Chargers,power,62.393
33:19.0,EV Chargers,power,67.424
33:34.4,EV Chargers,power,100.582
03:34.3,EV Chargers,power,76.832
03:34.8,EV Chargers,power,100.582
34:10.8,EV Chargers,power,100.582
34:14.6,EV Chargers,power,85.786
04:36.3,EV Chargers,power,100.582
04:41.0,EV Chargers,power,88.675
35:03.4,EV Chargers,power,100.582
35:18.1,EV Chargers,power,87.521
05:18.7,EV Chargers,power,85.415
05:22.2,EV Chargers,power,100.582
35:41.0,EV Chargers,power,81.938
35:49.9,EV Chargers,power,100.582
06:03.2,EV Chargers,power,87.947
06:13.8,EV Chargers,power,100.582
36:19.5,EV Chargers,power,87.3
36:29.9,EV Chargers,power,100.582
06:44.9,EV Chargers,power,92.476
06:45.3,EV Chargers,power,100.582
36:46.2,EV Chargers,power,83.939
37:03.8,EV Chargers,power,100.582
06:47.4,EV Chargers,power,87.797
07:04.6,EV Chargers,power,100.582
36:48.3,EV Chargers,power,89.203
37:04.9,EV Chargers,power,100.582
07:13.0,EV Chargers,power,98.638
07:22.9,EV Chargers,power,100.582
37:32.6,EV Chargers,power,108.085
37:48.0,EV Chargers,power,100.582
07:48.6,EV Chargers,power,121.595
08:10.7,EV Chargers,power,100.582
37:50.0,EV Chargers,power,141.477
38:11.0,EV Chargers,power,100.582
08:11.6,EV Chargers,power,160.163
08:11.6,EV Chargers,power,100.582
38:29.8,EV Chargers,power,100.582
38:39.0,EV Chargers,power,169.736
08:45.7,EV Chargers,power,100.582
09:05.7,EV Chargers,power,176.129
39:10.5,EV Chargers,power,100.582
39:21.2,EV Chargers,power,182.716
09:43.6,EV Chargers,power,176.653
09:44.8,EV Chargers,power,100.582
40:03.4,EV Chargers,power,167.66
40:09.6,EV Chargers,power,100.582
10:28.2,EV Chargers,power,166.358
10:30.7,EV Chargers,power,100.582
40:53.7,EV Chargers,power,157.811
40:56.4,EV Chargers,power,100.582
11:08.9,EV Chargers,power,159.224
11:17.3,EV Chargers,power,100.582
41:34.8,EV Chargers,power,143.656
41:38.6,EV Chargers,power,100.582
11:54.4,EV Chargers,power,100.582
12:04.6,EV Chargers,power,131.574
42:24.0,EV Chargers,power,100.582
42:28.5,EV Chargers,power,126.361
13:01.8,EV Chargers,power,95.007
43:02.8,EV Chargers,power,86.124
13:34.4,EV Chargers,power,71.64
43:55.8,EV Chargers,power,61.494
14:23.8,EV Chargers,power,51.983
44:42.8,EV Chargers,power,41.448
15:00.7,EV Chargers,power,29.906
45:29.6,EV Chargers,power,25.189
